text@uad1986m		3.97	10.9	Я никогда не понимал почему большим актерам / или режиссерам / так важны конкурсы
text@uad1986m		11.095	12.23	Ты это понимаешь
text@uad1986m		36.495	38.22	Широкое с высоким сравнить
text@uad1986m		39.01	39.32	мм
text@uad1986m		68.365	70.035	Потому что большой классный фильм
text@uad1986m		78.89	80.0	Легкий пофигизм
text@uad1986m		173.285	174.025	Рыдать
text@uad1986m		212.705	213.945	И ты рыдала
text@uad1986m		265.695	276.335	У тебя есть опыт или пример когда ты смотрела на чью-то игру либо в театре либо в кино и говорила вот это недостижимый уровень
text@uad1986m		276.785	277.995	А расскажи пожалуйста
text@uad1986m		313.58	316.71	Вторая дама это которая играла в Три Билборда Эббинга
text@uad1986m		317.095	318.035	А где она играла до этого
text@uad1986m		323.005	323.475	Аа
text@uad1986m		338.97	340.02	Таак а Мерил Стрип
words@uad1986m		3.97	4.465	Я
words@uad1986m		4.465	4.96	никогда
words@uad1986m		4.96	5.455	не
words@uad1986m		5.455	5.95	понимал
words@uad1986m		5.95	6.445	почему
words@uad1986m		6.445	6.94	большим
words@uad1986m		6.94	7.435	актерам
words@uad1986m		7.435	7.93	/
words@uad1986m		7.93	8.425	или
words@uad1986m		8.425	8.92	режиссерам
words@uad1986m		8.92	9.415	/
words@uad1986m		9.415	9.91	так
words@uad1986m		9.91	10.405	важны
words@uad1986m		10.405	10.9	конкурсы
words@uad1986m		11.095	11.473	Ты
words@uad1986m		11.473	11.851	это
words@uad1986m		11.851	12.23	понимаешь
words@uad1986m		36.495	36.926	Широкое
words@uad1986m		36.926	37.357	с
words@uad1986m		37.357	37.788	высоким
words@uad1986m		37.788	38.22	сравнить
words@uad1986m		39.01	39.32	мм
words@uad1986m		68.365	68.699	Потому
words@uad1986m		68.699	69.033	что
words@uad1986m		69.033	69.367	большой
words@uad1986m		69.367	69.701	классный
words@uad1986m		69.701	70.035	фильм
words@uad1986m		78.89	79.445	Легкий
words@uad1986m		79.445	80.0	пофигизм
words@uad1986m		173.285	174.025	Рыдать
words@uad1986m		212.705	213.118	И
words@uad1986m		213.118	213.531	ты
words@uad1986m		213.531	213.945	рыдала
words@uad1986m		265.695	266.138	У
words@uad1986m		266.138	266.581	тебя
words@uad1986m		266.581	267.024	есть
words@uad1986m		267.024	267.467	опыт
words@uad1986m		267.467	267.91	или
words@uad1986m		267.91	268.353	пример
words@uad1986m		268.353	268.796	когда
words@uad1986m		268.796	269.239	ты
words@uad1986m		269.239	269.682	смотрела
words@uad1986m		269.682	270.125	на
words@uad1986m		270.125	270.568	чью-то
words@uad1986m		270.568	271.011	игру
words@uad1986m		271.011	271.454	либо
words@uad1986m		271.454	271.897	в
words@uad1986m		271.897	272.34	театре
words@uad1986m		272.34	272.783	либо
words@uad1986m		272.783	273.226	в
words@uad1986m		273.226	273.669	кино
words@uad1986m		273.669	274.112	и
words@uad1986m		274.112	274.555	говорила
words@uad1986m		274.555	274.998	вот
words@uad1986m		274.998	275.441	это
words@uad1986m		275.441	275.884	недостижимый
words@uad1986m		275.884	276.335	уровень
words@uad1986m		276.785	277.188	А
words@uad1986m		277.188	277.591	расскажи
words@uad1986m		277.591	277.995	пожалуйста
words@uad1986m		313.58	313.927	Вторая
